X,Y
0.51,-0.143261552
0.52,-0.190885961
0.53,-0.23469311
0.54,-0.274389327
0.55,-0.30970329
0.56,-0.34038955
0.57,-0.36622864
0.58,-0.387028575
0.59,-0.402626157
0.6,-0.412887692
0.61,-0.417709529
0.62,-0.417019308
0.63,-0.410775721
0.64,-0.398969173
0.65,-0.38162154
0.66,-0.358786166
0.67,-0.33054781
0.68,-0.297021687
0.69,-0.258353114
0.7,-0.214716852
0.71,-0.166315794
0.72,-0.113379657
0.73,-5.62E-02
0.74,5.05E-03
0.75,7.00E-02
0.76,0.138235867
0.77,0.209542423
0.78,0.283515155
0.79,0.359778166
0.8,0.437940687
0.81,0.517602444
0.82,0.598353863
0.83,0.679778755
0.84,0.761456788
0.85,0.842966378
0.86,0.923884809
0.87,1.00379395
0.88,1.08228016
0.89,1.15893781
0.9,1.23337078
0.91,1.30519557
0.92,1.37404156
0.93,1.43955564
0.94,1.50140309
0.95,1.55926859
0.96,1.61285937
0.97,1.66190612
0.98,1.70616412
0.99,1.74541593
1,1.77947092
1.01,1.80816817
1.02,1.83137584
1.03,1.84899235
1.04,1.86094761
1.05,1.86720228
1.06,1.86774921
1.07,1.86261249
1.08,1.85184765
1.09,1.83554149
1.1,1.81381154
1.11,1.78680515
1.12,1.75469935
1.13,1.71769857
1.14,1.67603469
1.15,1.62996554
1.16,1.57977247
1.17,1.52576041
1.18,1.4682548
1.19,1.40759921
1.2,1.34415722
1.21,1.27830493
1.22,1.21043241
1.23,1.14094043
1.24,1.07023835
1.25,0.998742044
1.26,0.926871002
1.27,0.85504663
1.28,0.78368926
1.29,0.713216245
1.3,0.644039333
1.31,0.576562464
1.32,0.511178851
1.33,0.448271573
1.34,0.388207078
1.35,0.331335723
1.36,0.277989864
1.37,0.228481114
1.38,0.18309921
1.39,0.142109931
1.4,0.105754077
1.41,7.42E-02
1.42,4.78E-02
1.43,2.65E-02
1.44,1.05E-02
1.45,-2.68E-05
1.46,-5.09E-03
1.47,-4.64E-03
1.48,1.33E-03
1.49,1.28E-02
